"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Salary","Contract","FPts","FP/G","Bye","Ros %","GP","BFGTD","BPTD","TDST"
"*04cap*","T.J. Watt","PIT","LB","75","SNLR","28","CLE 14<br/>@PIT 28 F","20,853,313","4th","202.5","13.5","9","100%","15","0","0","0"
"*04oio*","Foyesade Oluokun","JAX","LB","82","DN","27","TEN 16<br/>@JAX 20 F","1,900,000","2nd","197","11.59","11","100%","17","0","0","0"
"*04mo3*","Roquan Smith","CHI/BAL","LB","102","Pong","26","BAL 16<br/>@CIN 27 F","13,840,136","5th","181.3","10.66","10","88%","17","0","0","0"
"*05j9w*","Jordyn Brooks","SEA","LB","107","Yoshi","25","LAR 16<br/>@SEA 19 F","500,000","3rd","177.5","10.44","11","100%","17","0","0","0"
"*05jan*","Trevon Diggs","DAL","DB","113","FA","24","DAL 6<br/>@WAS 26 F","3,000,000","2022","171.7","10.73","9","62%","16","0","0","0"
"*040gu*","De'Vondre Campbell","GB","LB","117","Aaron","29","DET 20<br/>@GB 16 F","700,000","3rd","166.5","10.41","14","62%","16","0","0","0"
"*03oi7*","Eric Kendricks","MIN","LB","118","RBM","31","MIN 29<br/>@CHI 13 F","1,800,000","2nd","166.2","11.08","8","75%","15","0","0","0"
"*05rln*","Micah Parsons","DAL","LB","121","Bryce","23","DAL 6<br/>@WAS 26 F","562,000","2nd","165","10.31","9","88%","16","0","0","0"
"*04ctd*","Kenny Moore","IND","DB","127","RBM","27","HOU 32<br/>@IND 31 F","500,000","2nd","159.8","9.4","14","62%","17","0","0","0"
"*026st*","Cameron Heyward","PIT","DL","128","Aaron","33","CLE 14<br/>@PIT 28 F","700,000","3rd","159.5","9.38","9","75%","17","0","0","0"
"*04zw3*","Cole Holcomb","WAS","LB","130","FA","26","DAL 6<br/>@WAS 26 F","8,500,000","2022","158.9","9.93","9","75%","16","0","0","0"
"*02j96*","Bobby Wagner","LAR","LB","137","DN","32","LAR 16<br/>@SEA 19 F","4,000,000","2nd","156.3","9.77","11","88%","16","0","0","0"
"*04mp9*","J.C. Jackson","LAC","DB","138","FA","27","LAC 28<br/>@DEN 31 F","500,000","1st","156.2","9.19","8","25%","17","0","0","0"
"*04mp6*","Shaquille Leonard","IND","LB","140","Yoshi","27","HOU 32<br/>@IND 31 F","16,872,408","5th","155.7","9.73","14","75%","16","0","0","0"
"*02zy2*","Jordan Poyer","BUF","DB","142","DN","31","NE 23<br/>@BUF 35 F","6,200,000","2nd","155.2","9.7","7","75%","16","0","0","0"
"*04oha*","Kyzir White","PHI","LB","146","Mullen","27","NYG 16<br/>@PHI 22 F","500,000","9th","152.7","8.98","13","62%","17","0","0","0"
