"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Salary","Contract","FPts","Bye","Ros %","GP","BFGTD","BPTD","TDST"
"*04yqd*","Chauncey Gardner-Johnson","PHI","DB","219","Yoshi","25","NYG 16<br/>@PHI 22 F","500,000","9th","105.4","6","62%","9","0","0","0"
"*04mo3*","Roquan Smith","CHI/BAL","LB","66","Pong","26","Bye","13,840,136","5th","105.2","10","88%","9","0","0","0"
"*04yn8*","Devin White","TB","LB","152","Pong","25","TB 17<br/>@ATL 30 F","13,000,000","2022","104.5","11","88%","10","0","0","0"
"*04zv3*","Maxx Crosby","LV","DL","107","Mullen","25","KC 31<br/>@LV 13 F","500,000","9th","103","6","100%","9","0","0","0"
"*04oio*","Foyesade Oluokun","JAX","LB","73","DN","27","TEN 16<br/>@JAX 20 F","1,900,000","2nd","102.5","11","100%","10","0","0","0"
"*05rqf*","Talanoa Hufanga","SF","DB","158","Nick","24","ARI 13<br/>@SF 38 F","500,000","9th","100.6","9","88%","9","0","0","0"
"*04ojg*","Zaire Franklin","IND","LB","94","Pong","26","HOU 32<br/>@IND 31 F","500,000","9th","100.5","14","88%","10","0","0","0"
"*05j9w*","Jordyn Brooks","SEA","LB","149","Yoshi","25","LAR 16<br/>@SEA 19 F","500,000","3rd","100","11","100%","10","0","0","0"
"*04mt6*","Rashaan Evans","ATL","LB","141","Bryce","27","TB 17<br/>@ATL 30 F","2,104,944","3rd","100","","75%","10","0","0","0"
"*04zvf*","Drue Tranquill","LAC","LB","109","ROTK_Ben","27","LAC 28<br/>@DEN 31 F","500,000","9th","97","8","88%","9","0","0","0"
"*04ce2*","Eddie Jackson","CHI","DB","283","Yoshi","29","MIN 29<br/>@CHI 13 F","500,000","9th","96.9","14","50%","10","0","0","0"
"*04yph*","T.J. Edwards","PHI","LB","116","Nick","26","NYG 16<br/>@PHI 22 F","500,000","9th","96","14","88%","9","0","0","0"
"*03ojd*","Jordan Hicks","MIN","LB","153","Yoshi","30","MIN 29<br/>@CHI 13 F","500,000","2nd","95.9","7","88%","9","0","0","0"
"*060r0*","Tariq Woolen","SEA","DB","183","ROTK_Ben","23","LAR 16<br/>@SEA 19 F","500,000","9th","94.7","11","88%","10","0","0","0"
"*040hw*","Matt Judon","NE","LB","179","Bryce","30","Bye","2,088,934","4th","94.5","10","75%","9","0","0","0"
"*05rm0*","Zaven Collins","ARI","LB","200","QBRT","23","ARI 13<br/>@SF 38 F","625,000","2nd","94","13","75%","10","0","0","0"
"*04mo4*","Derwin James","LAC","DB","187","Yoshi","26","LAC 28<br/>@DEN 31 F","12,206,250","5th","93.5","8","75%","9","0","0","0"
"*04oty*","Frankie Luvu","CAR","LB","102","Yoshi","26","CAR 10<br/>@NO 7 F","500,000","9th","92.3","13","75%","8","0","0","0"
"*02j9v*","Demario Davis","NO","LB","174","Shelton","34","CAR 10<br/>@NO 7 F","13,963,802","5th","92","14","75%","10","0","0","0"
"*04zuu*","Bobby Okereke","IND","LB","156","Pong","26","HOU 32<br/>@IND 31 F","8,000,000","2022","91","9","100%","10","0","0","0"
"*05rln*","Micah Parsons","DAL","LB","178","Bryce","23","DAL 6<br/>@WAS 26 F","562,000","2nd","89.5","9","88%","9","0","0","0"
"*03cd2*","C.J. Mosley","NYJ","LB","130","Yoshi","30","Bye","500,000","2nd","88.5","10","88%","9","0","0","0"
"*05rmh*","Nick Bolton","KC","LB","85","LCS","23","KC 31<br/>@LV 13 F","500,000","2nd","87","8","100%","9","0","0","0"
"*03okj*","Za'Darius Smith","MIN","LB","304","Yoshi","30","MIN 29<br/>@CHI 13 F","500,000","9th","86.5","7","50%","9","0","0","0"
"*05rmr*","Richie Grant","ATL","DB","199","Bryce","25","TB 17<br/>@ATL 30 F","500,000","2020","86.2","14","88%","10","0","0","0"
"*05rnl*","Andre Cisco","JAX","DB","267","Nick","23","TEN 16<br/>@JAX 20 F","500,000","9th","85.8","11","12%","10","0","0","0"
"*05jcc*","L'Jarius Sneed","KC","DB","126","Pong","26","KC 31<br/>@LV 13 F","500,000","1st","85","8","88%","9","0","0","0"
"*02j8l*","Harrison Smith","MIN","DB","212","QBRT","34","MIN 29<br/>@CHI 13 F","5,000,000","2022","85","7","50%","8","0","0","0"
"*05j9x*","Patrick Queen","BAL","LB","133","Nick","23","Bye","625,000","3rd","84.6","10","100%","9","0","0","0"
"*02j96*","Bobby Wagner","LAR","LB","98","DN","32","LAR 16<br/>@SEA 19 F","4,000,000","2nd","84.5","11","88%","9","0","0","0"
"*060ka*","Devin Lloyd","JAX","LB","223","LCS","24","TEN 16<br/>@JAX 20 F","500,000","2022","84.3","11","75%","10","0","0","0"
"*05j9o*","Isaiah Simmons","ARI","LB","165","Nick","24","ARI 13<br/>@SF 38 F","625,000","3rd","83.6","13","88%","10","0","0","0"
"*04zwr*","Donovan Wilson","DAL","DB","210","Shelton","28","DAL 6<br/>@WAS 26 F","700,000","2nd","83.5","9","62%","9","0","0","0"
"*05jby*","Mykal Walker","ATL","LB","245","Yoshi","25","TB 17<br/>@ATL 30 F","500,000","9th","83.1","14","62%","9","0","0","0"
"*03ojb*","Danielle Hunter","MIN","DL,LB","213","Roberto","28","MIN 29<br/>@CHI 13 F","2,600,000","2nd","83","7","88%","9","0","0","0"
"*03oi7*","Eric Kendricks","MIN","LB","162","RBM","31","MIN 29<br/>@CHI 13 F","1,800,000","2nd","83","8","75%","9","0","0","0"
"*04mta*","Uchenna Nwosu","SEA","DL,LB","225","Nick","26","LAR 16<br/>@SEA 19 F","500,000","9th","82.5","11","88%","10","0","0","0"
"*060z8*","Jalen Pitre","HOU","DB","83","Shelton","23","HOU 32<br/>@IND 31 F","500,000","1st","82.2","6","100%","9","0","0","0"
"*040gu*","De'Vondre Campbell","GB","LB","257","Aaron","29","DET 20<br/>@GB 16 F","700,000","3rd","81.8","14","62%","8","0","0","0"
"*05rmx*","Jevon Holland","MIA","DB","217","Roberto","23","NYJ 6<br/>@MIA 11 F","562,000","2nd","81.7","11","75%","10","0","0","0"
"*060lz*","Jaquan Brisker","CHI","DB","233","Roberto","23","MIN 29<br/>@CHI 13 F","500,000","2022","81.6","14","88%","10","0","0","0"
"*05jbo*","Alex Highsmith","PIT","DL,LB","196","Yoshi","25","CLE 14<br/>@PIT 28 F","500,000","9th","81.5","9","88%","9","0","0","0"
"*04mny*","Minkah Fitzpatrick","PIT","DB","160","SNLR","26","CLE 14<br/>@PIT 28 F","14,810,087","4th","81.3","9","75%","7","0","0","0"
"*026s5*","Patrick Peterson","MIN","DB","201","Yoshi","32","MIN 29<br/>@CHI 13 F","500,000","9th","81.2","9","25%","9","0","0","0"
"*04cfb*","Matt Milano","BUF","LB","119","Mullen","28","NE 23<br/>@BUF 35 F","500,000","9th","81.1","7","88%","8","0","0","0"
"*040fa*","Vonn Bell","CIN","DB","241","QBRT","28","BAL 16<br/>@CIN 27 F","600,000","2nd","81.1","13","62%","9","0","0","0"
"*04cbx*","Budda Baker","ARI","DB","227","Aaron","27","ARI 13<br/>@SF 38 F","6,800,000","2nd","80.8","13","75%","10","0","0","0"
"*04zuw*","Cody Barton","SEA","LB","166","SNLR","26","LAR 16<br/>@SEA 19 F","500,000","2nd","80.6","14","88%","10","0","0","0"
"*04ogm*","Fred Warner","SF","LB","142","SNLR","26","ARI 13<br/>@SF 38 F","20,380,913","4th","80.5","9","100%","9","0","0","0"
"*04yqe*","Brian Burns","CAR","DL","205","Bryce","24","CAR 10<br/>@NO 7 F","500,000","3rd","79.5","13","88%","10","0","0","0"
"*03oho*","Shaq Thompson","CAR","LB","209","QBRT","28","CAR 10<br/>@NO 7 F","500,000","2nd","79.5","13","88%","10","0","0","0"
"*04zwc*","David Long","TEN","LB","334","Roberto","26","TEN 16<br/>@JAX 20 F","500,000","1st","78.9","","62%","9","0","0","0"
"*04mo5*","Daron Payne","WAS","DL","182","Yoshi","25","DAL 6<br/>@WAS 26 F","500,000","9th","78","14","75%","10","0","0","0"
"*060jy*","Ahmad Gardner","NYJ","DB","246","SNLR","22","Bye","500,000","9th","77.9","10","62%","9","0","0","0"
"*040ds*","Jalen Ramsey","LAR","DB","150","Yoshi","28","LAR 16<br/>@SEA 19 F","500,000","9th","77.5","11","88%","9","0","0","0"
