"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Salary","Contract","FPts","Bye","Ros %","GP","Yds/A","Yds/C","Pa0-9","Pa10-19","Pa20-29","Pa30-39","Pa40-49","Pa50+","LgPa","Ru0-9","Ru10-19","Ru20-29","Ru30-39","Ru40-49","Ru50+","LgRu","Rc0-9","Rc10-19","Rc20-29","Rc30-39","Rc40-49","Rc50+","LgRc","F","TO"
"*04mnz*","Josh Allen","BUF","QB","2","Shelton","26","NE 23<br/>@BUF 35 F","17,851,461","5th","240.6","7","97%","9","8.0","12.4","111","70","20","5","5","4","98","0","0","0","0","0","0","36","0","0","0","0","0","0","0","8","13"
"*04ca6*","Patrick Mahomes","KC","QB","1","ROTK_Ben","27","KC 31<br/>@LV 13 F","27,532,174","5th","234.5","8","97%","9","8.0","12.0","129","73","24","9","6","2","57","0","0","0","0","0","0","20","0","0","0","0","0","0","0","3","7"
"*040id*","Tyreek Hill","MIA","WR","9","Yoshi","29","NYJ 6<br/>@MIA 11 F","15,417,375","5th","221.9","11","100%","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","64","1","0"
"*02ztg*","Travis Kelce","KC","TE","5","DN","33","KC 31<br/>@LV 13 F","9,770,750","5th","219","8","100%","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","46","0","0"
"*05gv4*","Jalen Hurts","PHI","QB","3","Nick","24","NYG 16<br/>@PHI 22 F","562,500","2nd","215.4","7","100%","9","8.4","12.3","75","65","17","7","4","3","54","0","0","0","0","0","0","26","0","0","0","0","0","0","0","5","4"
"*04cl4*","Austin Ekeler","LAC","RB","4","Nick","27","LAC 28<br/>@DEN 31 F","22,900,000","2nd","213.1","8","97%","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","71","0","0","0","0","0","0","23","3","1"
"*03ol4*","Stefon Diggs","BUF","WR","12","Nick","29","NE 23<br/>@BUF 35 F","14,230,109","5th","212.5","7","100%","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","53","1","0"
"*05gu5*","Justin Jefferson","MIN","WR","6","Pong","23","MIN 29<br/>@CHI 13 F","1,250,000","3rd","208.3","7","100%","9","23.0","23.0","0","0","1","0","0","0","23","0","0","0","0","0","0","10","0","0","0","0","0","0","64","0","0"
"*04ccp*","Cooper Kupp","LAR","WR","65","Pong","29","LAR 16<br/>@SEA 19 F","13,578,281","5th","202.4","7","100%","9","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","0","0","0","0","75","2","1"
"*05gtu*","Joe Burrow","CIN","QB","8","Shelton","26","Bye","5,000,000","3rd","198.1","10","100%","9","7.6","10.9","133","68","16","4","4","4","60","0","0","0","0","0","0","23","0","0","0","0","0","0","0","4","8"
"*05rlx*","Justin Fields","CHI","QB","18","Pong","24","MIN 29<br/>@CHI 13 F","3,100,000","2nd","197.9","14","100%","10","7.2","12.2","58","39","13","4","1","3","56","0","0","0","0","0","0","67","0","0","0","0","0","0","0","12","8"
"*04mog*","Lamar Jackson","BAL","QB","41","DN","26","Bye","19,030,598","5th","192.5","10","97%","9","6.9","11.1","83","57","13","3","0","2","75","0","0","0","0","0","0","79","0","0","0","0","0","0","0","4","7"
"*048xf*","Christian McCaffrey","CAR/SF","RB","7","RBM","26","ARI 13<br/>@SF 38 F","8,537,104","5th","183.8","9","97%","9","34.0","34.0","0","0","0","1","0","0","34","0","0","0","0","0","0","49","0","0","0","0","0","0","49","1","0"
"*03ce8*","Davante Adams","LV","WR","10","Aaron","30","KC 31<br/>@LV 13 F","15,117,632","5th","183.3","6","97%","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","58","1","0"
"*02zss*","Geno Smith","SEA","QB","14","RBM","32","LAR 16<br/>@SEA 19 F","600,000","1st","181.8","11","97%","10","7.8","10.8","120","78","16","7","1","3","54","0","0","0","0","0","0","24","0","0","0","0","0","0","0","4","6"
